id,name,publisher_id,country_id,year_began,year_ended,is_surrogate,notes,url
1344,Tokyopop GmbH,5530,54,2004,NULL,0,NULL,NULL
1345,Verlag Bunte Dimensionen,7135,54,2005,NULL,0,NULL,NULL
1346,Lystring,6287,189,NULL,NULL,0,NULL,NULL
1347,Het Laatste Nieuws N.V.,7136,20,NULL,NULL,0,NULL,NULL
1348,Henry Holt and Co.,1174,225,1866,NULL,0,NULL,NULL
1349,Burlyman Entertainment Inc.,2146,225,NULL,NULL,0,NULL,http://www.burlymanentertainment.com/
1350,Impressum Nederland B.V.,7140,159,NULL,NULL,0,NULL,NULL
1351,Zwerchfell GbR Dinter & Tauber,760,54,2009,NULL,0,NULL,NULL
1352,Uitgeverij Helmond,3371,159,NULL,NULL,0,NULL,NULL
1353,Uitgave Oberon B.V.,3031,159,NULL,NULL,0,NULL,NULL
1354,Uitgeverij Dupuis,3361,20,NULL,NULL,0,NULL,NULL
1355,Four Walls Eight Windows,4947,225,1987,2004,0,NULL,NULL
1356,National Comics Publications Ltd.,4781,36,NULL,NULL,0,372 Bay Street Toronto Ontario.,NULL
1358,Schibsted Förlagen AB,3746,189,NULL,NULL,0,NULL,NULL
1359,Adam's Apple,2746,225,1971,1973,0,NULL,NULL
1360,Wahlström & Widstrand,1252,189,NULL,NULL,0,NULL,NULL
1361,Fathom Press,771,225,1990,1998,0,NULL,NULL
1362,Globe Communications Corp.,609,225,NULL,NULL,0,NULL,NULL
1363,Triad Publications,574,225,NULL,NULL,0,NULL,NULL
1364,Old Town Publishing Inc.,870,225,1996,NULL,0,NULL,NULL
1365,Kana (Balloon Books n.v.),5930,20,NULL,NULL,0,NULL,http://www.mangakana.com
1366,Humor Magazines Inc.,50,225,1955,1959,0,NULL,NULL
1367,Columbia Comic Corporation,86,225,NULL,NULL,0,NULL,NULL
1368,Halloween Comics,859,225,1996,NULL,0,NULL,NULL
1369,St. John Publishing Co.,220,225,1948,1955,0,NULL,NULL
1370,Lerner Publishing Group Inc.,7149,225,1959,NULL,0,NULL,NULL
1371,Accent UK Comics,5875,75,NULL,NULL,0,NULL,http://www.ukcomics.co.uk
1372,Editorial Bruguera S.A.,4425,65,NULL,NULL,0,NULL,NULL
1373,Grosset & Dunlap Publishers,382,225,NULL,NULL,0,NULL,NULL
1374,Tom Doherty Associates Inc.,432,225,NULL,NULL,0,Address: 49 West 24 Street New York NY 10010,NULL
1376,The Random House Publishing Group,2216,225,NULL,NULL,0,A division of Random House Inc.,NULL
1377,Ballantine Books,2216,225,1980,NULL,0,A division of Random House Inc.,http://www.randomhouse.com/rhpg/
1378,Warp Graphics,401,225,NULL,NULL,0,"Earlier than Warp Graphics Inc. does not include the ""Inc.""",NULL
1379,Witches Tales Inc.,76,225,1951,1955,0,NULL,NULL
1380,World Distributors,3490,75,NULL,NULL,0,NULL,NULL
1381,Ediciones Vértice,4392,65,1969,1981,0,Used at least in 1979.,NULL
1382,Young's Merchandising Co.,3261,14,1950,1963,0,This indicia publisher was used during the 1950s but otherwise dating is uncertain. The company folded after the death of it's owner Charles Young in 1963. It seems this wording was used for the indicia publisher up until that time.,NULL
1383,Transport Publishing Co. Pty. Ltd,5796,14,1951,1956,0,Comics by this publisher are undated and the years of operation are an estimate. Many Transport comics include the cover logo for the previous Associated General Publications (AGP) indicia publisher.,NULL
1384,Tidsskriftet Rødt!,7153,160,NULL,NULL,0,NULL,NULL
1385,The McGraw-Hill Companies,2711,225,NULL,NULL,0,NULL,http://www.glencoe.com
1386,Sprekstrek,7155,160,NULL,NULL,0,NULL,NULL
1387,Papirkompaniet AS,7154,160,NULL,NULL,0,NULL,NULL
1388,Gilberton Company,113,225,NULL,NULL,0,NULL,NULL
1389,Walt Disney Magazine Publishing Group Inc.,637,225,1991,NULL,0,NULL,NULL
1390,Bastei Verlag Gustav H. Lübbe GmbH & Co.,1798,54,NULL,NULL,0,NULL,NULL
1391,Vital Publications Inc.,67,225,1943,1946,1,"Publications bore text such as ""This book has been manufactured under wartime conditions in full compliance with all orders and regulations of the War Production Board in particular 1.245 by Vital Publications Inc. New York"" sometimes continuing ""from material prepared and supplied by Comic Magazines"".  Comic Magazines was of course one of Quality's proper publishing companies. Vital Publications Inc. began publishing their own line of comics after the end of the WW2 paper allotment.",NULL
1392,F. Planeta,4437,65,1982,1986,0,"Used in early issues of ""Espada Salvaje de Conan La"" when the magazine was edited in Madrid",NULL
1393,Dearfield Publishing Company,2405,225,NULL,NULL,0,NULL,NULL
1394,London Night Studios,823,225,NULL,NULL,0,NULL,http://www.londonnight.com
1395,EH! Productions,823,225,NULL,NULL,0,NULL,http://www.londonnight.com
1396,Radio Shack Division of Tandy Corporation,2156,225,1978,1987,0,NULL,NULL
1397,Calvert Publishing Co. Pty. Ltd.,7158,14,1954,1959,0,7 Angel Place Sydney NSW 2000.,NULL
1398,Vee Publishing Co.,2023,14,1946,1949,0,"Early Cleland comics were generally ""Published by S Larry Cleland for Vee Publishing Co."" with some cover branding identifying Vee. The name was not used beyond 1949/1950.",NULL
1399,Aviation Press Inc.,135,225,NULL,NULL,0,NULL,NULL
1400,Preferred Publications Inc.,185,225,1951,1953,0,NULL,NULL
1401,Byron Preiss Visual Publications Inc.; Bantam Books,700,225,NULL,NULL,0,NULL,NULL
1403,Edition Kunst der Comics,641,54,NULL,NULL,0,NULL,NULL
1404,Christopher Nielsens Kulørte Trykksaker,1745,160,NULL,NULL,0,NULL,NULL
1405,Halvorsen & Larsen A/S,1562,160,NULL,NULL,0,NULL,NULL
1406,New Reliable Press,4428,36,NULL,NULL,0,NULL,NULL
1407,EPS The Erotic Print Society,7159,75,NULL,NULL,0,NULL,http://www.eroticprints.org/
1408,com.x ltd,2070,75,NULL,NULL,0,NULL,http://www.comxcomics.com
1409,Fishwrap Productions,1965,225,NULL,NULL,0,NULL,NULL
1411,L. L. Publishing Co. Inc.,169,225,NULL,NULL,0,NULL,NULL
1412,Rissho Kosei-kai International of North America,7161,225,2008,NULL,0,NULL,NULL
1413,Hodder & Stoughton Children's Books,3225,75,NULL,NULL,0,a division of Hodder & Stoughton Ltd.,NULL
1414,Civil Service Publications Inc.,2149,225,NULL,NULL,0,NULL,NULL
1415,Dell Publishing Company Inc.,61,225,NULL,NULL,0,NULL,NULL
1416,Sombrero Media,7095,159,NULL,NULL,0,NULL,NULL
1417,Konjunksjon Kartoons,1752,160,NULL,NULL,0,NULL,NULL
1418,Fantasy Flight Publishing Inc.,6829,225,1995,NULL,0,NULL,NULL
1419,True Publications Pty. Ltd,2023,14,1950,1955,0,Comics using this publisher are undated but were released in the early 1950s based on the cover price. This publisher appears to be part of the Larry S. Cleland group. It shares the same street address (Century Building 125-133 Swanston St Melbourne) also publishes Fawcett material and uses similarly odd comic page sizes. The link is not confirmed.,NULL
1420,Kåre Lundgren,1594,160,NULL,NULL,0,NULL,NULL
1421,A.s. Dennis Norsk,1594,160,NULL,NULL,0,NULL,NULL
1422,Bladet Dennis,1594,160,NULL,NULL,0,NULL,NULL
1423,Black Bull Comics,1963,225,NULL,NULL,0,NULL,NULL
1424,Angry Naked Comics,3550,225,NULL,NULL,0,NULL,NULL
1425,WeeBee Comics,2636,225,NULL,NULL,0,NULL,NULL
1426,Bodo Genki Studios,3300,225,1994,1994,0,NULL,NULL
1427,Lightning Entertainment Inc,745,225,NULL,NULL,0,NULL,NULL
1428,Entertainment Publishing Company,557,225,NULL,NULL,0,NULL,NULL
1430,Wonder Comix,6663,225,NULL,NULL,0,NULL,NULL
1431,Graphitti Designs Inc. and View Askew Productions Inc.,610,225,2006,2006,0,NULL,NULL
1432,Amigo Grafik,5011,54,NULL,NULL,0,NULL,NULL
1433,Fawcett Publications Incorporated,88,225,NULL,NULL,0,NULL,NULL
1434,Nickel Productions,6929,72,NULL,NULL,0,NULL,NULL
1435,Vanguard Productions,2193,225,NULL,NULL,0,NULL,NULL
1436,Uitgeverij Medusa,7166,20,NULL,NULL,0,NULL,NULL
1437,NoTem Forlag,1592,160,NULL,NULL,0,NULL,NULL
1438,Concentra Media,7101,20,NULL,NULL,0,NULL,NULL
1439,Condor Print & Verlag GmbH & Co. KG,3044,54,NULL,NULL,0,NULL,NULL
1440,Uitgeverij Glénat Benelux n.v.,4252,20,NULL,NULL,0,NULL,NULL
1441,United Plankton Pictures Inc.,7180,225,2011,NULL,0,NULL,NULL
1442,Seriefrämjandet,2051,189,1968,2003,0,NULL,http://www.serieframjandet.se/
1443,The Aller Press Ltd.,1563,160,NULL,NULL,0,NULL,NULL
1444,Dynamite,7182,72,2003,NULL,0,NULL,NULL
1445,Les Editions Hors Collection,7183,72,NULL,NULL,0,NULL,NULL
1446,SEFAM,6236,72,NULL,NULL,0,NULL,NULL
1447,Les Humanoïdes Associés S.A.S.,4871,72,NULL,NULL,0,NULL,NULL
1448,Editions Glénat,4664,72,NULL,NULL,0,NULL,NULL
1449,L Jámal Incorporated,2970,225,NULL,NULL,0,NULL,NULL
1450,Funday Funnies Inc.,76,225,1961,1967,0,NULL,NULL
1451,Del Rey,2216,225,2007,NULL,0,"Full title can be ""Del Rey an Imprint of the Random House Publishing Group"" and ""Del Rey an Imprint of Random House Inc.""",NULL
1452,CX Comics a division of Fantagraphics Books Inc.,445,225,1982,NULL,0,NULL,NULL
1453,Charles M. Schulz Museum and Research Center,7184,225,NULL,NULL,0,NULL,NULL
1454,MMJD / SEFAM,6236,72,NULL,NULL,0,NULL,NULL
1455,Baldini Castoldi Dalai editore,7186,106,NULL,NULL,0,NULL,NULL
1456,Artabras,389,225,1991,1991,0,"On Archie: His First 50 Years listed as ""Artabras a Division of Abbeville Publishing Group.""",NULL
1457,Avodah Books,6021,225,NULL,NULL,0,Avodah Books PO Box 2316 Beverly Hills CA,NULL
1458,Volksverlag,5018,54,NULL,NULL,0,NULL,NULL
1459,UPN - Volksverlag,5018,54,NULL,NULL,0,NULL,NULL
1460,Volksverlag GmbH,5018,54,NULL,NULL,0,NULL,NULL
1461,Awesome-Hyperworks,890,225,NULL,NULL,0,NULL,NULL
1462,Awesome Comics LLC,890,225,1997,NULL,0,NULL,NULL
1463,David McKay Company,60,225,NULL,NULL,0,NULL,NULL
1464,Stan-Rae Limited,7192,36,1948,1948,0,NULL,NULL
1465,Cosmicolor Publishing Company,3685,36,1948,1948,0,NULL,NULL
1466,A Fireside Book,659,225,1971,1982,0,NULL,NULL
1467,Paperwerk GmbH / Infinity,936,54,NULL,NULL,0,NULL,NULL
1468,Sweatdrop Studios,7194,75,2002,NULL,0,NULL,http://www.sweatdrop.com/
1469,Famous Funnies,51,225,1954,1955,0,NULL,NULL
1471,Mad Love Publishing,582,225,NULL,NULL,0,NULL,NULL
1472,King Hell Press in assocation with Tundra Publishing Ltd.,6166,225,NULL,NULL,0,NULL,NULL
1473,Wolf Publishing Company,4043,75,1991,1993,0,NULL,NULL
1474,3-D Adventure Comics Inc.,7160,225,1986,NULL,0,NULL,NULL
