story_id,artist_id
15123,1936
15125,1772
15126,1931
15508,260
15512,821
15726,2992
15728,1614
15732,1931
16026,821
16307,2596
16308,2596
16309,2596
16311,2596
16312,1614
16431,342
16432,342
16433,342
16434,342
16435,342
16437,1786
16438,342
16814,1198
16816,2772
16820,1931
16822,1936
16833,2596
16834,2596
16835,2596
16839,2772
16840,2596
16843,2543
16978,342
16979,342
16980,342
16981,342
16982,342
16984,1786
16985,342
17136,433
17137,260
17359,342
17360,342
17361,342
17362,342
17524,1198
17529,812
17532,2596
17533,2596
17536,2596
17537,2596
17538,1614
17667,342
17668,342
17669,342
17670,342
17671,342
17673,1786
17674,342
18038,1198
18040,1614
18043,812
18051,812
18054,2772
18057,2596
18058,2596
18062,2772
18063,2596
18064,2596
18158,342
18159,342
18160,342
18161,342
18162,342
18164,1786
18165,342
18569,2596
18570,2596
18574,2772
18575,2596
18576,2596
18693,342
18694,342
18695,342
18696,342
18697,342
18699,1786
18700,342
18823,1575
19100,342
19102,342
19103,342
19104,342
19106,1786
19107,342
19169,812
19174,2596
19177,2596
19179,2596
19180,812
19181,2596
19183,2543
19308,1786
19483,1375
19484,2537
19486,260
19487,384
19488,433
19579,2559
19700,2596
19705,2772
19708,2772
19718,1928
19721,2596
19724,2596
19726,2596
19727,812
19728,2596
19729,2543
20136,2559
20348,2596
20353,2772
20356,1928
20359,2596
20362,2596
20364,2596
20365,2772
20366,2596
20367,2543
20737,2559
20959,812
20963,2596
20966,2596
20968,1772
20969,2596
20970,2543
20971,2596
21214,1115
21215,1115
21216,1115
21294,433
21295,384
21297,2537
21406,2559
21588,2772
21590,1772
22143,2559
22326,2596
22334,1429
22465,2346
22619,542
22620,433
22621,1666
22623,765
22830,2559
22900,2151
23058,2596
23062,812
23066,624
23069,2596
23070,2596
23071,2596
23074,2596
23077,2596
23208,1213
23235,472
23237,2346
23587,2559
23749,2998
23790,2596
23794,1928
23797,2260
23813,2596
23814,2596
23816,575
23819,2596
23958,2998
24354,2559
24576,2596
24579,253
24583,2943
24585,2543
24727,1061
25101,2559
25395,1228
25999,2559
26218,1108
26232,2596
26235,1429
26238,1772
26686,2559
26907,2596
27196,1375
27197,260
27333,2559
27671,1592
27956,1375
27957,260
28073,2559
28344,1592
28571,1247
28616,2559
28850,1592
28927,2237
