id,name,year_began,year_ended,notes,url,publisher_id
1962,Eine Story-Center Publikation,1975,NULL,NULL,NULL,7501
1963,Eisenfresser Comix,NULL,NULL,NULL,NULL,6914
1964,EKS Almanah,NULL,NULL,NULL,NULL,6760
1965,El Capitán,NULL,NULL,NULL,NULL,961
1966,El Jueves,NULL,NULL,NULL,NULL,4952
1967,Electric Milk Comics / Blind Wolf...,2000,2006,NULL,NULL,2655
1968,Elite Comics,NULL,NULL,NULL,NULL,514
1969,Elmsfire Books,2002,NULL,Elmsfire Books Basel,NULL,7208
1970,Elseworlds,1991,2011,NULL,NULL,54
1973,EM,NULL,NULL,NULL,NULL,3519
1974,Embedded Productions,NULL,NULL,NULL,NULL,5978
1975,EMSA,1951,1962,NULL,NULL,3947
1976,EN,NULL,NULL,Fue utilizada en los comics que fueron reeditados de la Editorial Novaro.,NULL,5369
1977,Editorial Novaro,1964,1985,Tras consolidarse la unificación de todas sus subsidiarias en 1964 Editorial Novaro utilizó cinco emblemas principales para sus publicaciones hasta su cierre en 1985.,NULL,3947
1978,En bok fra Televerket; Tele,NULL,NULL,NULL,NULL,1715
1980,EN Colombia; Epucol; Ediciones y Publicaciones de Colombia Ltda.,1970,1975,NULL,NULL,5369
1981,En Comix Produksjon,NULL,NULL,NULL,NULL,1754
1982,En femstjärnig serietidning,NULL,NULL,NULL,NULL,1532
1983,en pax-bok,NULL,NULL,NULL,NULL,1604
1984,En Pju-produksjon,NULL,NULL,NULL,NULL,1722
1985,En R-bok,NULL,NULL,NULL,NULL,1567
1986,En Se bok,NULL,NULL,NULL,NULL,3982
1988,Endless Horizons Entertainment,2000,2001,NULL,NULL,2832
1989,Enjeti,2002,2002,NULL,NULL,8259
1990,Entertainment Publishing,NULL,NULL,NULL,NULL,557
1991,Entity Comics,1993,1997,NULL,NULL,856
1992,Entity Comics; Cats Studios,NULL,NULL,NULL,NULL,856
1993,Entropy,1987,1987,NULL,NULL,558
1994,Entropy Enterprises,NULL,NULL,NULL,NULL,558
1995,EO; Editorial Orizaba,1965,1972,Brand as seen on all covers,NULL,8788
1996,ep,1972,1973,NULL,NULL,7731
1997,EP,1972,NULL,NULL,NULL,4562
1998,EP,NULL,NULL,NULL,NULL,7132
1999,EP colore,NULL,NULL,NULL,NULL,4562
2000,EP Elsewhere Productions,NULL,NULL,NULL,NULL,3481
2001,EP ristampa,NULL,NULL,NULL,NULL,4562
2002,Epic,1982,NULL,NULL,NULL,78
2004,Shadowline,1988,1990,NULL,NULL,78
2005,Heavy Hitters,1993,1993,NULL,NULL,78
2010,Epix,NULL,NULL,NULL,NULL,678
2011,Epoch,NULL,NULL,NULL,NULL,3562
2012,Epsilon,NULL,NULL,NULL,NULL,4513
2013,Ediciones Recreativas,1952,1964,Sus emblemas continuaron usándose incluso después de que esta compañía deja de usarse en el indicia.,NULL,3947
2016,Erasmus Comics,2013,NULL,NULL,NULL,4910
2017,Erasmus Universiteit Rotterdam,NULL,NULL,NULL,NULL,8089
2018,Ernst G. Mortensens forlag AS; Det Nye,NULL,NULL,NULL,NULL,1579
2021,Eros Comix,1990,2014,NULL,https://web.archive.org/web/20150801100310/http://eroscomix.com/,445
2023,Erotiska serier,NULL,NULL,NULL,NULL,678
2024,Erotix,2009,NULL,NULL,http://www.editions-delcourt.fr/,4035
2025,ERT,1993,2002,Edition Rhein-Trio Basel.,NULL,7208
2026,ESA,NULL,NULL,NULL,NULL,6319
2027,Escape Velocity Press,NULL,NULL,NULL,NULL,3010
2028,ESP,1995,1995,NULL,NULL,2778
2029,Espee,NULL,NULL,NULL,NULL,5091
2031,Espee; van Gennip Amsterdam,NULL,NULL,NULL,NULL,5091
2032,Esteem Comics,NULL,NULL,NULL,NULL,5685
2033,ET,2010,NULL,NULL,NULL,6226
2034,Et hefte fra Allers,NULL,NULL,NULL,NULL,1563
2040,ET Serie,2010,NULL,NULL,http://ekholmtegebjer.se/,6226
2041,et Tempo album,NULL,NULL,NULL,NULL,1559
2043,ETC Comics,NULL,NULL,NULL,NULL,1342
2044,Eternal,1996,1996,NULL,NULL,3046
2045,Eternity,1988,1994,Originally an independent publisher Eternity was absorbed by Malibu and became its primary brand in early 1988.  Malibu's existing ongoing titles formerly branded with the Malibu logo began to be branded with the Eternity logo and the entire company was often referred to as Eternity in the contemporary press though Malibu was the parent company.,NULL,613
2046,Eternity,NULL,NULL,NULL,NULL,515
2049,Cyclone Comics,1990,1990,NULL,NULL,613
2050,NOW Comics,NULL,NULL,NULL,NULL,613
2051,Ett album från Epix,NULL,NULL,NULL,NULL,678
2052,Ett album från Medusa,NULL,NULL,NULL,NULL,1084
2053,Ett album från Medusa,NULL,NULL,NULL,NULL,678
2054,Ett Semic-album,NULL,NULL,NULL,NULL,1197
2055,Eura Editoriale,NULL,NULL,NULL,NULL,444
2056,Eureducation,NULL,NULL,NULL,NULL,7370
2057,Euroclub Italia,NULL,NULL,NULL,NULL,518
2058,Europaparlamentet,NULL,NULL,NULL,NULL,1964
2059,European Commission; Office for official publications of the European communities,NULL,NULL,NULL,NULL,1964
2060,Eurotica,1992,NULL,NULL,http://www.nbmpub.com/eurotica/home/homeros.html,525
2061,Eurotica Toons,2001,2004,NULL,http://www.nbmpub.com/eurotica/home/homeros.html,525
2062,Event,NULL,NULL,NULL,NULL,900
2063,Event Comics,NULL,NULL,NULL,NULL,900
2064,Everyman Comics,NULL,NULL,NULL,NULL,1102
2065,Evil Twin Comics,NULL,NULL,NULL,NULL,2553
2066,Evolution Comics,NULL,NULL,NULL,NULL,2591
2067,Ex Libris,NULL,NULL,NULL,NULL,3630
2068,Excalibur Publications,NULL,NULL,NULL,NULL,2861
2069,Exeter Entrance Studios,1986,1986,NULL,NULL,3310
2070,Exhibit A Press,NULL,NULL,NULL,NULL,770
2071,Expand,1995,1996,NULL,NULL,749
2072,Express Books,NULL,NULL,NULL,NULL,4423
2073,Express Press,1993,1993,NULL,NULL,856
2074,Expresso Dupuis,NULL,NULL,NULL,NULL,3361
2075,Expresso; Cinebook,NULL,NULL,NULL,NULL,4266
2076,Extinct Press,1995,1995,NULL,NULL,3637
2077,Extra Small Press,NULL,NULL,NULL,NULL,2503
2078,Extreme Studio,1992,1992,NULL,NULL,2586
2079,Extreme Studios,1993,1995,NULL,NULL,709
2080,F,NULL,NULL,NULL,NULL,1353
2081,F,1994,1994,NULL,NULL,2987
2082,F [smile],NULL,NULL,"The letter F as the right eye of a face with a dot for the other eye and a line for a smile. Apparently related to the ""Friendly"" brand.",NULL,2758
2083,FA  Fox Atomic Comics,NULL,NULL,NULL,NULL,5011
2084,FA Fox Atomic Comics,NULL,NULL,NULL,NULL,6887
2085,Fabel,NULL,NULL,NULL,NULL,1346
2086,Fabel A/S,NULL,NULL,NULL,NULL,1636
2087,Faber & Faber,NULL,NULL,NULL,NULL,7556
2089,Factory Comics,1996,1996,NULL,NULL,3680
2090,Fago Publications,NULL,NULL,NULL,NULL,274
2091,Fago Publications; A Fago Publication,NULL,NULL,NULL,NULL,274
2092,Faktum,NULL,NULL,NULL,NULL,7066
2093,Fall River,2011,NULL,NULL,NULL,4027
2094,Famepress Library,NULL,NULL,NULL,NULL,5890
2095,Family Fun,NULL,NULL,NULL,NULL,2844
2096,Famous American Comics,1953,1957,NULL,NULL,7488
2097,Fanfare,2007,NULL,Fanfare emblem is a yellow rabbit reading a blue book and a gold butterfly above it enclosed in two red concentric circles.,NULL,4137
2098,Fanfare; Ponent Mon,2003,NULL,"Fanfare emblem is a yellow rabbit reading a blue book and a gold butterfly above it enclosed in two red concentric circles. Ponent Mon emblem is a black and white eight-point compass surrounded by a gold border. ""Ponent Mon"" are written on the gold border.",NULL,4137
2099,Fangoria Comics,NULL,NULL,NULL,NULL,6092
2100,Fanny,1991,NULL,NULL,NULL,6007
2101,Fanny Press,NULL,NULL,NULL,NULL,7477
2102,FantaCo,1978,1998,NULL,NULL,1792
2103,Fantagor Press,NULL,NULL,NULL,NULL,516
2104,Fantagor Press; Tundra Publishing,1992,1992,NULL,NULL,516
2105,Fantagraphics,1976,NULL,NULL,NULL,445
2108,Coconino Press,2005,NULL,NULL,NULL,445
2111,Fantasma Toys,NULL,NULL,NULL,http://www.fantasmamagic.com/,7649
2113,Fantasy Flight Publishing,NULL,NULL,NULL,NULL,6829
2114,Fantasy General Comics,NULL,NULL,NULL,NULL,5187
2115,Fantasy Graphics,1983,1983,NULL,NULL,3681
2116,Fantasy Press,NULL,NULL,NULL,NULL,1729
2117,Fantasy Prone,NULL,NULL,NULL,NULL,5281
2118,fantasy studios,1974,1974,NULL,NULL,4005
2119,Farao,NULL,NULL,NULL,NULL,5698
2120,Farao,NULL,NULL,NULL,NULL,4002
