id,origin_issue_id,target_issue_id
303,767438,394181
304,748946,803369
305,863449,803369
306,781661,803369
307,785305,394184
308,740215,394185
309,740216,394185
311,740218,394185
312,740219,394185
313,761877,394186
314,761878,394186
315,761879,394186
316,761890,394187
317,761891,394187
318,761892,394187
319,767441,394188
320,767442,394188
321,767443,394188
322,767444,394188
323,767445,394188
324,911747,394190
325,911748,394190
326,911749,394190
327,901498,394192
328,114700,394192
329,902839,394192
330,765201,394194
331,765202,394194
332,765203,394194
333,765204,394194
334,350680,394195
335,350681,394195
336,790057,394195
337,386364,394199
338,356816,394205
339,766726,394205
340,766727,394205
341,852231,394206
342,852232,394206
343,852233,394206
344,852234,394206
345,799381,394207
346,799382,394207
347,799383,394207
348,898225,394209
349,901455,394209
350,901456,394209
351,902856,394212
352,902857,394212
353,902858,394212
354,902859,394212
355,799384,789691
356,883532,1015655
357,927350,1015424
358,873357,1015659
359,863613,1015659
360,851421,1015659
361,839683,1015659
362,885887,1015658
363,874782,1015658
364,866183,1015658
365,865997,1015658
366,814451,1016118
367,811443,1016118
369,794961,1013203
370,335610,1013366
371,1027573,1027572
372,780322,1028110
373,1028193,733560
374,922450,1028018
388,941094,1036183
389,926766,1036183
390,914357,1036183
391,902677,1036183
392,899387,1036183
393,888667,1036183
395,263996,811791
396,263997,883626
397,263998,1035587
398,772262,1036722
399,677975,1036721
400,542970,1036719
401,371263,1036717
403,328092,1036715
404,264000,1036714
405,263999,1036713
406,371262,1036716
407,263998,1036712
408,263997,1036711
409,263996,1036710
412,371263,665671
413,371262,665670
414,328092,665669
415,264000,665668
416,263999,665667
417,263998,665666
418,263997,665665
419,263996,665664
420,578959,1036720
421,948117,1037752
422,942154,1037752
424,947018,1037750
425,383178,1037660
426,368900,1037660
427,368899,1037660
428,368898,1037660
429,413688,1037660
430,337135,1037660
431,337134,1037660
432,337133,1037660
433,337132,1037660
434,337131,1037660
435,337130,1037660
436,337129,1037660
437,337128,1037660
439,337126,1037660
440,560849,945944
441,560881,945945
442,1041150,1041149
443,1041151,1041149
444,1041152,1041149
446,328491,1048960
447,328490,1048960
448,743638,1048979
449,743637,1048979
450,743636,1048979
451,847290,1052121
452,272244,1052120
453,898413,1052119
455,1013921,1052635
456,1019278,1052637
460,991077,997664
465,592323,592406
468,277440,1084215
469,777190,1084216
470,782987,1084216
472,32870,1075079
473,112276,1071324
476,1087342,1090395
477,1082972,1090395
478,1082974,1090395
479,1084505,1090395
480,1087343,1090395
486,74931,1071864
487,534361,385598
489,533697,768647
490,533696,768647
491,533695,768647
492,533694,768647
493,533693,768647
494,533692,768647
495,533691,768647
496,533690,768647
497,533689,768647
498,533688,768647
499,533687,768647
500,533685,768647
501,533684,768647
502,533683,768647
503,533682,768647
504,533681,768647
505,533680,768647
506,533679,768647
507,533678,768647
508,533697,769838
509,533696,769838
510,533695,769838
511,533694,769838
512,533693,769838
513,533692,769838
514,533691,769838
515,533690,769838
516,533689,769838
517,533688,769838
518,533687,769838
519,533685,769838
520,533684,769838
521,533683,769838
522,533682,769838
523,533681,769838
524,533680,769838
525,533679,769838
526,533678,769838
527,1095851,876666
528,1095809,876665
529,1095808,876665
530,1095807,876665
531,1095806,876665
532,1095805,876665
533,1095804,876665
534,1095803,876665
535,1095802,876665
536,1095801,876665
537,1095800,876665
538,1095799,876665
540,1095727,1096293
541,1095726,1096293
542,1095725,1096293
543,1095724,1096293
544,1095723,1096293
545,1095722,1096293
546,1095809,1096291
547,1095808,1096291
548,1095807,1096291
549,1095806,1096291
550,1095805,1096291
551,1095804,1096291
552,1095803,1096291
553,1095802,1096291
554,1095801,1096291
555,1095800,1096291
556,1095799,1096291
557,127396,355017
558,393671,546427
559,393671,537492
578,667687,1097180
579,543748,1097227
580,230355,1097227
581,386289,1098513
582,386288,1098513
583,386287,1098513
584,386286,1098513
585,952396,1098303
586,952396,1098306
595,665976,1098547
596,665975,1098547
597,364143,1098545
598,296790,1098522
599,246572,1098525
600,1098515,1098543
603,785987,1099003
604,785986,1099003
605,785985,1099003
606,785984,1099003
607,408679,1099003
608,408678,1099003
609,251235,1098999
610,251235,1099007
611,56891,1099007
612,264668,1099264
613,1096841,1099510
614,374826,1099504
615,374825,1099504
616,374823,1099504
617,374822,1099504
618,56891,1098969
625,125638,351963
626,125639,351974
633,779189,1036643
635,277311,817779
636,277095,817779
637,785285,817779
638,277287,817779
639,345716,817779
640,125665,1100036
646,1197515,905277
647,3516,905277
650,206577,905277
651,206048,905277
652,247560,905277
653,314971,905277
654,783609,905277
655,772848,945062
656,772847,945062
657,772846,945062
684,1015905,947392
685,1015912,552891
686,1015912,947399
687,1082509,1082495
688,1082509,1082521
689,1015911,947398
690,1015912,945007
691,1015911,945007
692,806255,794426
694,806254,794425
695,806253,794424
696,806252,794423
702,1106815,794400
703,1106823,921535
704,1106821,708002
705,1106821,921535
706,1106822,708002
707,1106822,921535
708,1015907,552886
709,1015907,947394
710,1015908,552887
711,1015908,947395
712,1015909,947396
713,1015909,552888
714,1015910,947397
715,1015910,552889
716,1106791,794414
717,1106791,1104432
719,1106793,794416
720,1106793,1104434
723,1106794,794417
726,1106792,794415
727,1106792,1104433
729,1106795,794418
731,1106796,794419
732,1106796,713907
733,1106924,1106816
734,1106809,795138
736,1106809,713451
737,1106810,795140
738,1106810,795139
739,1106810,713452
740,1106814,713456
741,1106813,713455
743,1106809,947222
744,1106810,947223
745,1106811,947224
746,1106812,947225
751,1107157,399759
752,1107157,399758
755,1107162,795146
756,1107161,795150
757,1107160,795149
758,1107159,795148
760,1107157,795145
761,1106813,947226
762,1106814,947227
764,1107158,947229
765,1107159,947230
766,1107160,947231
767,1107161,947232
768,1107162,947233
769,1107155,947234
776,1107157,778945
778,1107155,713569
780,1107885,1107880
781,1107885,1107886
782,1107162,399769
783,1107162,399768
784,1107161,399767
785,1107161,399766
786,1107160,399765
787,1107160,399764
788,1107159,399763
789,1107159,399762
790,1107158,399761
791,1107158,399760
792,1106811,792374
